,smiles
3hdcoa,CCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hddcoa,CCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hhcoa,CCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hhdcoa,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hocoa,CCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hodcoa,CCCCCCCCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3hpp,O=C([O-])CCO
3hppnl,O=CCCO
3hpppn,O=C(O)CCc1cccc([O-])c1
3htdcoa,CCCCCCCCCCC[C@H](O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ig3p,O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
3mob,CC(C)C(=O)C(=O)O
3mop,CC[C@H](C)C(=O)C(=O)O
3odcoa,CCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3oddcoa,CCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ohcoa,CCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ohdcoa,CCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
3ohodcoa,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3oocoa,CCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3ophb,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)O)ccc1O
3otdcoa,CCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3oxdhscoa,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)C/C=C/CC(=O)O
3pg,O=C(O)[C@H](O)COP(=O)(O)O
3php,O=C(O)C(=O)COP(=O)(O)O
3psme,C=C(O[C@@H]1CC(C(=O)O)=C[C@@H](OP(=O)(O)O)[C@H]1O)C(=O)O
3sala,N[C@@H](CS(=O)O)C(=O)O
4abut,NCCCC(=O)O
4abutn,NCCCC=O
4abz,Nc1ccc(C(=O)[O-])cc1
4abzglu,Nc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1
4adcho,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1N)C(=O)[O-]
4ahmmp,Cc1ncc(CO)c(=N)[nH]1
4ampm,Cc1ncc(COP(=O)(O)O)c(=N)[nH]1
4c2me,C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(=N)nc2O)[C@H](O)[C@@H]1O
4crsol,Cc1ccc(O)cc1
4h2opntn,CC(O)CC(=O)C(=O)O
4hbz,O=C(O)c1ccc([O-])cc1
4hoxpacd,O=CCc1ccc(O)cc1
4hthr,N[C@H](C(=O)O)[C@H](O)CO
4mhetz,Cc1ncsc1CCO
4mop,CC(C)CC(=O)C(=O)O
4mpetz,Cc1ncsc1CCOP(=O)(O)O
4pasp,N[C@@H](CC(=O)OP(=O)(O)O)C(=O)O
4per,O=C(O)[C@H](O)[C@H](O)COP(=O)(O)O
4ppan,CC(C)(COP(=O)(O)O)[C@@H](O)C(O)=NCCC(=O)O
4ppcys,CC(C)(COP(=O)(O)O)[C@@H](O)C(O)=NCCC(O)=N[C@@H](CS)C(=O)O
4r5au,Nc1c(O)nc(O)nc1NCC(O)C(O)C(O)CO
56dura,OC1=NC(O)=NCC1
5aizc,Nc1c(C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
5aop,NCC(=O)CCC(=O)O
5aprbu,Nc1c(O)nc(O)nc1NCC(O)C(O)C(O)COP(=O)(O)O
5apru,Nc1c(O)nc(O)nc1N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
5caiz,O=C([O-])Nc1cncn1C1OC(COP(=O)([O-])[O-])C(O)C1O
5dglcn,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
5dh4dglc,O=C(O)C(=O)C[C@H](O)[C@@H](O)C(=O)O
5drib,C[C@@H](O)[C@@H](O)[C@@H](O)C=O
5fthf,N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O
5mta,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
5mthf,CN1c2c(O)nc(=N)[nH]c2NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
5mtr,CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
5pg35pg,N=c1nc([O-])c2ncn([C@@H]3O[C@H](COP(=O)(O)O[C@@H]4[C@@H](COP(=O)([O-])O)O[C@@H](n5cnc6c([O-])nc(=N)[nH]c65)[C@@H]4O)[C@@H](O)[C@H]3O)c2[nH]1
5phdt,OC1=NC(c2ccccc2)C(O)=N1
5phua,CC(O)=NC(O)=Nc1ccccc1
5prdmbz,Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C
6hmhpt,N=c1nc(O)c2c([nH]1)NCC(CO)=N2
6hmhptpp,N=c1nc([O-])c2c([nH]1)NCC(COP(=O)(O)OP(=O)([O-])[O-])=N2
6pgc,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
6pgg,O=P(O)(O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
6pgl,O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
8aonn,CC(N)C(=O)CCCCCC(=O)O
LalaDgluMdapDala,CC(N)C(O)=NC(CCCC(N=C(O)CCC(N=C(O)C(C)N)C(=O)O)C(=O)O)C(=O)O
LalaDgluMdap,CC(N)C(O)=NC(CCCC(N=C(O)CCC(N=C(O)C(C)N)C(=O)O)C(=O)O)C(=O)O
LalaDglu,CC(N)C(O)=NC(CCC(=O)[O-])C(=O)O
LalaLglu,C[C@H](N)C(O)=N[C@@H](CCC(=O)[O-])C(=O)O
N1aspmd,CC(O)=NCCCNCCCCN
Nmtrp,CNC(Cc1c[nH]c2ccccc12)C(=O)O
S2hglut,O=C(O)CC[C@H](O)C(=O)O
Sfglutth,N[C@@H](CCC(O)=N[C@@H](CSC=O)C(O)=NCC(=O)O)C(=O)O
aacald,NCC=O
aacoa,CC(=O)CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
aact,CC(=O)CN
ac,CC(=O)[O-]
acac,CC(=O)CC(=O)[O-]
acald,CC=O
acampnt,CC([O-])=NCP(=O)(O)O
acanth,CC([O-])=Nc1ccccc1C(=O)O
accoa,CC(=O)SCCN=C(O)CCN=C(O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
acetol,CC(=O)CO
acg5p,CC(O)=N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
acg5sa,CC(O)=N[C@@H](CCC=O)C(=O)O
acgal1p,CC(O)=N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@H](O)[C@@H]1O
acgal,CC(O)=N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
acgam1p,CC(O)=N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O
acgam6p,CC(O)=N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
acgam,CC(O)=N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
acglc__D,CC(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
acglu,CC(O)=N[C@@H](CCC(=O)O)C(=O)O
acmalt,CC(=O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
acmana,CC(O)=N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
acmanap,CC(O)=N[C@@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
acmet,CSCC[C@H](N=C(C)O)C(=O)O
acmum6p,CC(O)=N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
acmum,CC([O-])=N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
acnam,CC(O)=N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
